Clave de la entidad federativa,Entidad federativa,Clave del municipio,Municipio,Social.lag.index.2005,Level.Social.Lag.2005,Poverty.Pct.2010,Extreme.Poverty.Pct.2010,Moderate.Poverty.Pct.2010,Vulnerables.SocialCare.Pct.2010,Educ.Lag.Pct.2010,Lack.Access.To.HealthServices.Pct.2010
20,Oaxaca,20176,San Juan Bautista Coixtlahuaca,0.69702,High,88.35,44.33,44.02,7.07,31.29,42.08
20,Oaxaca,20177,San Juan Bautista CuicatlÌÁn,0.07161,Medium,71.37,22.63,48.74,22.03,32.63,16.33
20,Oaxaca,20178,San Juan Bautista Guelache,-0.68628,Low,41.84,12.1,29.73,32.87,13.22,39.62
20,Oaxaca,20179,San Juan Bautista JayacatlÌÁn,0.63493,High,81.21,30.35,50.85,18.09,39.03,27.56
20,Oaxaca,20180,San Juan Bautista Lo de Soto,0.09727,Medium,74.87,30.36,44.51,22.21,33.19,30.5
20,Oaxaca,20181,San Juan Bautista Suchitepec,0.39718,Medium,90.82,51.26,39.56,7.71,47.92,71.39
20,Oaxaca,20182,San Juan Bautista Tlacoatzintepec,1.2477,High,97.68,84.32,13.37,2.16,41.93,90.2
20,Oaxaca,20183,San Juan Bautista Tlachichilco,0.64698,High,93.22,53.04,40.18,6.71,39.45,42.94
20,Oaxaca,20184,San Juan Bautista Tuxtepec,-0.71733,Very Low,50.82,14.52,36.31,27.18,21.93,36.36
20,Oaxaca,20185,San Juan Cacahuatepec,0.17511,Medium,75.51,39.48,36.03,12.89,25.1,23.81
20,Oaxaca,20186,San Juan Cieneguilla,-0.30663,Low,74.7,23.56,51.14,18.83,39.16,29.9
20,Oaxaca,20187,San Juan CoatzÌ_spam,1.74397,High,95.82,76.07,19.76,4.18,49.56,65.97
20,Oaxaca,20188,San Juan Colorado,0.97306,High,91.59,63.74,27.86,6.1,34.67,50.41
20,Oaxaca,20189,San Juan Comaltepec,1.99168,Very High,97.6,75.96,21.64,2.4,43.14,38.32
20,Oaxaca,20190,San Juan CotzocÌ_n,0.80102,High,74.69,31.82,42.88,21.49,36.28,34.73
20,Oaxaca,20191,San Juan ChicomezÌ¼chil,-0.14134,Low,20.21,1.7,18.51,72.37,30.04,9.54
20,Oaxaca,20192,San Juan Chilateca,-0.93195,Very Low,47.72,12.63,35.09,36.78,17.16,60.35
20,Oaxaca,20193,San Juan del Estado,-0.21337,Low,69.14,20.48,48.66,24.17,33.85,78.36
20,Oaxaca,20194,San Juan del RÌ_o,-0.26497,Low,71.71,23.7,48.01,12.7,43.87,47.66
20,Oaxaca,20195,San Juan Diuxi,1.31351,High,95.26,72.14,23.12,4.57,52.31,88.6
20,Oaxaca,20196,San Juan Evangelista Analco,-0.23131,Low,76.29,5.07,71.22,16.49,25.28,16.67
20,Oaxaca,20197,San Juan GuelavÌ_a,0.8336,High,84.85,40.77,44.08,13.48,44.45,91.18
20,Oaxaca,20198,San Juan Guichicovi,0.83149,High,75.79,32.49,43.31,14.15,39.56,45
20,Oaxaca,20199,San Juan Ihualtepec,1.12435,High,92.44,54.16,38.28,7.41,48.67,43.66
20,Oaxaca,20200,San Juan Juquila Mixes,1.52552,High,94.9,65.35,29.55,4.48,45.34,44.76
20,Oaxaca,20201,San Juan Juquila Vijanos,0.98071,High,94.48,42.21,52.27,5.4,35.65,13.14
20,Oaxaca,20202,San Juan Lachao,1.33418,High,89.99,53.59,36.4,8.79,42.85,60.12
20,Oaxaca,20203,San Juan Lachigalla,1.94925,Very High,98.59,88.65,9.94,1.41,41.87,90.92
20,Oaxaca,20204,San Juan Lajarcia,-0.25561,Low,82.4,34.3,48.1,17.6,27.74,34.74
20,Oaxaca,20205,San Juan Lalana,1.59716,High,87,52.13,34.87,12.1,49.46,48.35
20,Oaxaca,20206,San Juan de los CuÌ©s,0.42386,Medium,78.27,29.51,48.76,17.35,31.98,53.52
20,Oaxaca,20207,San Juan MazatlÌÁn,1.35891,High,86.11,42.89,43.22,13.61,38.37,16.19
20,Oaxaca,20208,San Juan Mixtepec - Dto. 08 -,1.47632,High,91.46,63.3,28.16,7.42,53.62,68.41
20,Oaxaca,20209,San Juan Mixtepec - Dto. 26 -,1.22054,High,96.54,65.33,31.2,3.32,47.85,47.11
20,Oaxaca,20210,San Juan ÌÔumÌ_,1.36345,High,95.6,69.54,26.06,4.07,30.27,60.19
20,Oaxaca,20211,San Juan Ozolotepec,1.01039,High,97.94,79.57,18.37,2.02,44.23,40.51
20,Oaxaca,20212,San Juan Petlapa,2.97982,Very High,98.7,90.07,8.62,1.3,49.63,86.5
20,Oaxaca,20213,San Juan Quiahije,1.20394,High,90.59,57.61,32.97,9.22,45,23.13
20,Oaxaca,20214,San Juan Quiotepec,0.60863,High,90.1,52.3,37.8,8.15,44.84,44.71
20,Oaxaca,20215,San Juan Sayultepec,-0.18165,Low,73.33,24.96,48.37,19.11,19.39,38.65
20,Oaxaca,20216,San Juan TabaÌÁ,0.14289,Medium,88.45,37.66,50.79,10.54,34.44,64.95
20,Oaxaca,20217,San Juan Tamazola,1.85816,High,98.17,67.56,30.62,1.83,32.72,32.81
20,Oaxaca,20218,San Juan Teita,0.8795,High,98.66,87.99,10.66,1.34,36.64,98.23
20,Oaxaca,20219,San Juan Teitipac,0.97598,High,89.09,39.47,49.62,10.18,51.99,37.56
20,Oaxaca,20220,San Juan Tepeuxila,1.26145,High,95.99,60.15,35.84,3.01,41.61,58.54
20,Oaxaca,20221,San Juan Teposcolula,0.25001,Medium,87.13,47,40.13,9.72,28.89,72.88
20,Oaxaca,20222,San Juan YaeÌ©,0.62844,High,94.24,40.46,53.78,4.81,37.06,47.89
20,Oaxaca,20223,San Juan Yatzona,0.29327,Medium,96.83,65.47,31.37,2,38.64,97.89
20,Oaxaca,20224,San Juan Yucuita,-0.57711,Low,67.33,19.98,47.35,26.83,28.08,27.76
20,Oaxaca,20225,San Lorenzo,1.54111,High,93.11,66.9,26.21,6.8,39.2,82.06
20,Oaxaca,20226,San Lorenzo Albarradas,0.41931,Medium,90.96,41.74,49.22,8.37,43.1,36.39
20,Oaxaca,20227,San Lorenzo Cacaotepec,-0.88278,Very Low,52.36,9.65,42.71,31.92,15.76,27.34
20,Oaxaca,20228,San Lorenzo Cuaunecuiltitla,1.86659,High,95.82,70.61,25.22,4.18,52.39,19.12
20,Oaxaca,20229,San Lorenzo TexmelÌ¼can,2.15652,Very High,98.91,84.83,14.08,1.09,46.67,13.61
20,Oaxaca,20230,San Lorenzo Victoria,0.10372,Medium,79.39,28.08,51.31,19.65,38.76,23.45
20,Oaxaca,20231,San Lucas CamotlÌÁn,1.87284,High,95.62,65.13,30.49,4.38,45.02,31.66
20,Oaxaca,20232,San Lucas OjitlÌÁn,1.21818,High,89.08,57.21,31.87,10.51,42.93,28.35
20,Oaxaca,20233,San Lucas QuiavinÌ_,1.09667,High,87.99,51.72,36.27,11.83,59.44,51.57
20,Oaxaca,20234,San Lucas ZoquiÌÁpam,1.99917,Very High,95.9,72.71,23.19,3.15,44.33,54.46
20,Oaxaca,20235,San Luis AmatlÌÁn,1.49142,High,92.39,54.9,37.49,6.81,46.74,56.03
20,Oaxaca,20236,San Marcial Ozolotepec,2.06438,Very High,96.73,64.67,32.06,2.86,47.55,39.54
20,Oaxaca,20237,San Marcos Arteaga,-0.58161,Low,75.05,30.63,44.42,20.28,36.44,63.56
20,Oaxaca,20238,San MartÌ_n de los Cansecos,0.47066,Medium,94.58,56.47,38.11,4.76,34.87,63.82
20,Oaxaca,20239,San MartÌ_n HuamelÌ¼lpam,0.38958,Medium,83.68,38.38,45.3,16.32,27.22,49.95
20,Oaxaca,20240,San MartÌ_n Itunyoso,2.14133,Very High,97.11,82.44,14.67,2.89,41.76,57.64
20,Oaxaca,20241,San MartÌ_n LachilÌÁ,0.25068,Medium,79.22,37.7,41.52,19.6,36.36,46.63
20,Oaxaca,20242,San MartÌ_n Peras,2.61753,Very High,96.56,79.16,17.39,3.36,57,67.29
20,Oaxaca,20243,San MartÌ_n Tilcajete,-0.03638,Medium,69.3,25.25,44.05,29.2,26.41,41.14
20,Oaxaca,20244,San MartÌ_n Toxpalan,0.41282,Medium,77.25,29.22,48.03,15.34,31.49,19.17
20,Oaxaca,20245,San MartÌ_n Zacatepec,0.59473,Medium,88.8,50.76,38.05,10.04,43.01,46.32
20,Oaxaca,20246,San Mateo Cajonos,0.45213,Medium,87.69,45.89,41.8,12.31,41.61,52.51
20,Oaxaca,20247,CapulÌÁlpam de MÌ©ndez,-1.06013,Very Low,47.94,3.95,43.99,24.96,13.39,21.71
20,Oaxaca,20248,San Mateo del Mar,1.90032,Very High,85.4,46.51,38.89,13.46,46.26,22.1
20,Oaxaca,20249,San Mateo YoloxochitlÌÁn,1.05321,High,90.94,58.5,32.45,6.26,35.87,22.36
20,Oaxaca,20250,San Mateo Etlatongo,0.25435,Medium,79.83,26.48,53.35,16.66,26.29,18.05
20,Oaxaca,20251,San Mateo NejÌÁpam,0.84822,High,95.91,67.38,28.53,4.09,53.86,26.37
20,Oaxaca,20252,San Mateo PeÌ±asco,1.20733,High,91.05,60.05,31,7.98,38.04,44.39
20,Oaxaca,20253,San Mateo PiÌ±as,2.01803,Very High,90.22,53.53,36.69,9.4,48.97,48.01
20,Oaxaca,20254,San Mateo RÌ_o Hondo,1.54089,High,92.44,62.53,29.91,6.57,43.7,63.76
20,Oaxaca,20255,San Mateo Sindihui,1.13121,High,93.72,64.14,29.59,5.93,43.44,70.69
20,Oaxaca,20256,San Mateo Tlapiltepec,0.2545,Medium,79.52,18.63,60.89,20.48,34.76,6.67
20,Oaxaca,20257,San Melchor Betaza,1.12229,High,93.65,65.09,28.56,6.35,53.31,73.84
20,Oaxaca,20258,San Miguel Achiutla,0.64146,High,89.56,47.14,42.41,7.98,36.52,31.45
